iter	MultiClass
0	1.910505173
1	1.671267952
2	1.548290006
3	1.429848161
4	1.368483817
5	1.310102811
6	1.246080252
7	1.180336276
8	1.115436008
9	1.048629589
10	0.9942373713
11	0.9711379675
12	0.9154162569
13	0.8751903928
14	0.836344901
15	0.7980709082
16	0.7711403271
17	0.7377456955
18	0.7075680281
19	0.6857282923
20	0.672215315
21	0.6600421608
22	0.6374779837
23	0.6211920241
24	0.608306711
25	0.5825859568
26	0.5650652007
27	0.5417648728
28	0.5263538742
29	0.5105548108
30	0.4937498966
31	0.4832286807
32	0.4717595715
33	0.4607833711
34	0.4525828326
35	0.4451704934
36	0.4327619447
37	0.4212769203
38	0.4109002936
39	0.4031961305
40	0.3934724405
41	0.3846767014
42	0.3779170768
43	0.3722230567
44	0.364088436
45	0.3569947515
46	0.3542719792
47	0.3484149116
48	0.3415158118
49	0.333462727
50	0.3284046897
51	0.3239311083
52	0.3187468519
53	0.3100007457
54	0.3029511945
55	0.29737255
56	0.2911140446
57	0.2867803652
58	0.2816318591
59	0.2776408385
60	0.2750191151
61	0.2697391828
62	0.2650956836
63	0.2621234049
64	0.2591410886
65	0.2542540921
66	0.2484156359
67	0.2436577044
68	0.2389932145
69	0.2361531934
70	0.2324568583
71	0.2307231976
72	0.2270825339
73	0.2238160462
74	0.2212726769
75	0.2178430047
76	0.2148449926
77	0.2111525956
78	0.2084242376
79	0.206025512
80	0.2031110635
81	0.2002483492
82	0.1974918292
83	0.1949591584
84	0.1917157424
85	0.1892952112
86	0.1858775238
87	0.1841250074
88	0.1814661551
89	0.1788713988
90	0.1773917051
91	0.1755353563
92	0.1722446403
93	0.1703230818
94	0.1688677611
95	0.1669871898
96	0.1655768302
97	0.1641801385
98	0.1631667976
99	0.1621115745
100	0.1602676168
101	0.1588761667
102	0.1574115616
103	0.155963414
104	0.1548738016
105	0.1535557459
106	0.1526464584
107	0.1517293551
108	0.150649507
109	0.1497610723
110	0.1480492815
111	0.1471140846
112	0.1457178616
113	0.1441686503
114	0.1431148043
115	0.142199475
116	0.1414791301
117	0.1402883199
118	0.1393200022
119	0.1377815192
120	0.1370408981
121	0.1363305587
122	0.1356045279
123	0.1346248759
124	0.133818302
125	0.1333628983
126	0.1327961487
127	0.1318924085
128	0.1312503389
129	0.1309495238
130	0.1303385633
131	0.129792358
132	0.129069487
133	0.1282608306
134	0.1275141795
135	0.1270044838
136	0.1265374913
137	0.1260079175
138	0.1255832917
139	0.125073676
140	0.1243828171
141	0.123094148
142	0.1225310471
143	0.1214440131
144	0.1208335079
145	0.1204183239
146	0.1199922867
147	0.1196665926
148	0.1192550076
149	0.1182916315
150	0.1179857101
151	0.1172058028
152	0.1168481541
153	0.1165774764
154	0.1161259725
155	0.1159213752
156	0.1156510516
157	0.1151088156
158	0.1149061421
159	0.1145108475
160	0.1134939159
161	0.1131973896
162	0.1121074774
163	0.1116433665
164	0.1112373699
165	0.1107727924
166	0.1104186235
167	0.1100984629
168	0.1098423947
169	0.1096148325
170	0.1092121251
171	0.1089681231
172	0.1085907574
173	0.1082472244
174	0.1075726486
175	0.1072995475
176	0.1070814828
177	0.1063417429
178	0.105840936
179	0.1055711938
180	0.1052966588
181	0.1050017116
182	0.1045687666
183	0.1043096501
184	0.1040301449
185	0.1037179482
186	0.1035416155
187	0.1032744534
188	0.1030498528
189	0.1028227978
190	0.1025026454
191	0.1023300863
192	0.1021636255
193	0.1020106282
194	0.1016072066
195	0.1014148059
196	0.1011159395
197	0.1008034754
198	0.1006363816
199	0.1004696534
200	0.1002616941
201	0.09999680555
202	0.09985902212
203	0.09975857666
204	0.09922995109
205	0.0990903079
206	0.09862661704
207	0.09837209507
208	0.09822774223
209	0.09797520028
210	0.09753259638
211	0.09742346673
212	0.09717576551
213	0.09700985453
214	0.09654188595
215	0.09639858026
216	0.09619978763
217	0.09593037995
218	0.09579307952
219	0.09569563259
220	0.09552999403
221	0.09543139347
222	0.09535834776
223	0.09503029873
224	0.09492033939
225	0.09470629476
226	0.09462519274
227	0.09453356263
228	0.09432819189
229	0.09422634639
230	0.09406685942
231	0.09395286817
232	0.09381807232
233	0.09367483615
234	0.09358453932
235	0.09344216847
236	0.09333961096
237	0.09316691336
238	0.0930445799
239	0.09287229296
240	0.09274143445
241	0.09260417824
242	0.09243712368
243	0.09234456897
244	0.09222997618
245	0.09202346681
246	0.09190887917
247	0.09182743356
248	0.09170726503
249	0.09161340223
250	0.09150958589
251	0.0913810263
252	0.0912950315
253	0.09121122983
254	0.09111895382
255	0.09099431005
256	0.09087742278
257	0.09082253039
258	0.09076245304
259	0.09064872202
260	0.09056442312
261	0.0904774751
262	0.09031492957
263	0.09006916916
264	0.09000076948
265	0.08962869545
266	0.08949758587
267	0.08942276661
268	0.0892776958
269	0.08913590989
270	0.08905930014
271	0.08900793952
272	0.08889407664
273	0.08879923466
274	0.08872029056
275	0.08866412069
276	0.08824054493
277	0.08814605822
278	0.08807258182
279	0.08797005824
280	0.0878780311
281	0.0877461571
282	0.08767971814
283	0.08761272608
284	0.08748076643
285	0.08743320874
286	0.08738127116
287	0.08732827665
288	0.08725443195
