iter	MultiClass
289	0.08717824948
290	0.08698913802
291	0.08694629962
292	0.0868564166
293	0.08669720847
294	0.08662908622
295	0.0865518525
296	0.08647298836
297	0.08636830623
298	0.0862916786
299	0.08617291861
300	0.0860939029
301	0.08595581891
302	0.08580991903
303	0.08566797612
304	0.08556063757
305	0.08547645765
306	0.08543144907
307	0.08538412117
308	0.08533046283
309	0.08527596922
310	0.08519810059
311	0.0851056759
312	0.08503138289
313	0.08495018583
314	0.08485778779
315	0.08473387648
316	0.08465089019
317	0.08461649954
318	0.08454626058
319	0.08433423931
320	0.08427474371
321	0.08419816108
322	0.08412711012
323	0.0840687871
324	0.08400518726
325	0.08395956215
326	0.08380099949
327	0.08374198602
328	0.08368731919
329	0.0836004058
330	0.08352354153
331	0.0834736907
332	0.08337286839
333	0.08332656265
334	0.08328815651
335	0.08323655669
336	0.08321078946
337	0.08314393018
338	0.08294451694
339	0.08289550171
340	0.08283451923
341	0.08279583386
342	0.08273783429
343	0.0826750242
344	0.0826013033
345	0.08252774348
346	0.0824931598
347	0.08233501054
348	0.08228289554
349	0.08224304116
350	0.08219175253
351	0.08214370938
352	0.08208650534
353	0.08203101753
354	0.08200102544
355	0.08189507749
356	0.08183045223
357	0.08175915825
358	0.08170281365
359	0.08165307295
360	0.08156832345
361	0.08144854406
362	0.08138324425
363	0.08134504851
364	0.08130188852
365	0.08126818794
366	0.08120245286
367	0.08117199583
368	0.08111661486
369	0.08106398708
370	0.08101634665
371	0.08098828676
372	0.08092563447
373	0.08076538712
374	0.08071241112
375	0.08063168527
376	0.08059179814
377	0.08052952958
378	0.08050904549
379	0.08048167638
380	0.08043811483
381	0.08041728251
382	0.08038604852
383	0.08035711857
384	0.08032208483
385	0.08028561603
386	0.08021031015
387	0.08017381144
388	0.08011083742
389	0.08007076721
390	0.08004278967
391	0.07999538736
392	0.07996385954
393	0.07991693353
394	0.07985763636
395	0.07980644489
396	0.07973222258
397	0.07969785748
398	0.07967303409
399	0.07959996425
400	0.07957894973
401	0.07950914427
402	0.07948476922
403	0.07945839588
404	0.07942891407
405	0.07939364896
406	0.07937818166
407	0.07935383913
408	0.07932575009
409	0.07925206853
410	0.07913683457
411	0.0790752068
412	0.07905228039
413	0.07900672689
414	0.07895878612
415	0.07886593533
416	0.07884037273
417	0.07881354522
418	0.07879013566
419	0.07875495608
420	0.07873875781
421	0.07871661966
422	0.0786887219
423	0.07864837215
424	0.0784767028
425	0.0784423719
426	0.07837859465
427	0.07835310659
428	0.07830581958
429	0.07826825352
430	0.07824701057
431	0.07822482783
432	0.07819111148
433	0.0781775514
434	0.07815881778
435	0.07813486372
436	0.07809459643
437	0.07806144748
438	0.07803453271
439	0.07801579326
440	0.07798812014
441	0.0779494096
442	0.07790478722
443	0.07786726114
444	0.07785809588
445	0.07782060798
446	0.07779517249
447	0.07776888045
448	0.07774269133
449	0.07772423016
450	0.07771198178
451	0.07768116522
452	0.07765779249
453	0.07763665492
454	0.07761732989
455	0.07760342471
456	0.07755307902
457	0.07753001641
458	0.0774879173
459	0.07744949308
460	0.07741909144
461	0.07739306539
462	0.07736831929
463	0.07733768828
464	0.07731444375
465	0.07730073131
466	0.07726762126
467	0.07721839019
468	0.07720284934
469	0.07718753692
470	0.07716008126
471	0.07713225737
472	0.07712440638
473	0.07710184698
474	0.07707430612
475	0.07705966084
476	0.07701031593
477	0.07695811335
478	0.07692699093
479	0.07689856648
480	0.07685899117
481	0.07682791442
482	0.07671703335
483	0.07669598832
484	0.07663598557
485	0.07661552881
486	0.0765957298
487	0.0765810587
488	0.07655780221
489	0.07654763546
490	0.07651297124
491	0.0764902424
492	0.07646297609
493	0.07645137566
494	0.07643623921
495	0.07641019627
496	0.07637829028
497	0.07636300486
498	0.07633600157
499	0.076326123
500	0.07629429085
501	0.07626812504
502	0.07624878348
503	0.07623126499
504	0.07614457023
505	0.0761291536
506	0.07608072308
507	0.07606030583
508	0.07603364265
509	0.0759494699
510	0.07592504741
511	0.07590728957
512	0.0757947577
513	0.07577817668
514	0.07573324366
515	0.075717544
516	0.07568924765
517	0.07565573599
518	0.07563710658
519	0.07561316829
520	0.07559033999
521	0.07557170118
522	0.07554776492
523	0.07553246742
524	0.07550047112
525	0.07545107618
526	0.07543863487
527	0.07541732703
528	0.07539562876
529	0.07537798437
530	0.07537207318
531	0.07535265493
532	0.07532765643
533	0.0753194083
534	0.07530992177
535	0.07530027912
536	0.07528197497
537	0.07526214329
538	0.0752499284
539	0.07522790883
540	0.07515496837
541	0.07512205962
542	0.0750910032
543	0.07506443846
544	0.07503301666
545	0.07501276307
546	0.0750030581
547	0.07490967124
548	0.07489532458
549	0.07488340578
550	0.07484872731
551	0.07483720243
552	0.07481443358
553	0.07474858471
554	0.07471403857
555	0.07468263023
556	0.07466707787
557	0.07458121429
558	0.07456219481
559	0.07454332908
560	0.0745132809
561	0.07447248293
562	0.07446145477
563	0.07445106959
564	0.0744358331
565	0.07425956852
566	0.07424369783
567	0.07419001769
568	0.07417787081
569	0.07416650635
570	0.07415470587
571	0.0741403751
572	0.07412201051
573	0.07410607774
574	0.07409613764
575	0.07408967896
576	0.07407374002
577	0.07405027515
578	0.0740288736
579	0.07401489326
580	0.0740001873
581	0.07397598918
582	0.07396847413
583	0.07395112506
584	0.07391823587
585	0.07390710813
586	0.07389301414
587	0.07387308765
588	0.07384641897
589	0.07379364475
590	0.07377733591
591	0.07376526138
592	0.07374947569
593	0.07371250079
594	0.0736917639
595	0.07368058806
596	0.07366513429
597	0.07365126902
598	0.07357391546
599	0.07352531572
600	0.0735146751
601	0.07349859578
602	0.07343563118
603	0.07341293224
604	0.07340441916
605	0.0733914752
606	0.07337816381
607	0.07336378192
608	0.07335285948
609	0.07334024744
610	0.07332970964
611	0.07330997935
612	0.07329290303
613	0.07327681407
614	0.07322733235
615	0.07321666808
616	0.07315917069
617	0.07310908755
618	0.07309861669
619	0.07308747877
620	0.07300343888
621	0.07299580545
622	0.07298442717
623	0.0729761538
624	0.07293172998
625	0.07291295419
626	0.0729031922
627	0.07289872118
628	0.07288904658
629	0.07287259657
630	0.07284488247
631	0.07283056681
632	0.07276082136
633	0.07274270963
634	0.07272496044
635	0.07270446793
636	0.07269438911
637	0.07268245427
638	0.07266409861
639	0.07265622788
640	0.07263910449
641	0.07262841131
642	0.07261079533
643	0.07260363539
644	0.07257538819
645	0.0725693828
646	0.07235203726
647	0.072339548
648	0.07232676161
649	0.07231724702
650	0.07230126399
651	0.07228886144
652	0.07227624348
653	0.07226140904
654	0.07225607861
655	0.07224817385
656	0.07224352266
657	0.07223359428
658	0.0722210805
659	0.07221434522
660	0.0722051488
661	0.07219767682
662	0.07218788912
663	0.07217826655
664	0.0721533118
665	0.07214065374
666	0.07212987305
667	0.07211686685
668	0.07209618381
669	0.07208762266
670	0.07205232235
671	0.07203862925
672	0.07202809153
673	0.07200775865
674	0.0719942779
675	0.07197667969
676	0.07196941795
677	0.07195390532
678	0.07192871393
679	0.07191400541
680	0.07190273378
681	0.07188884572
682	0.07187607462
683	0.07184128728
684	0.0718210294
685	0.07180457169
686	0.0717987122
687	0.07178903224
688	0.07178419431
689	0.0717769265
690	0.07175476959
691	0.07175074186
692	0.07173690707
693	0.07172758335
694	0.07171422049
695	0.07170724367
696	0.07169796817
697	0.07166940946
698	0.07166272442
699	0.07162796065
