iter	Passed	Remaining
381	11130	9265
382	11157	9234
383	11187	9206
384	11221	9180
385	11250	9152
386	11278	9121
387	11307	9092
388	11336	9063
389	11362	9031
390	11393	9004
391	11423	8975
392	11451	8945
393	11479	8915
394	11507	8885
395	11538	8857
396	11571	8831
397	11614	8812
398	11646	8785
399	11693	8769
400	11730	8746
401	11760	8717
402	11790	8689
403	11793	8640
404	11828	8615
405	11861	8589
406	11891	8560
407	11930	8538
408	11961	8510
409	11997	8485
410	12025	8456
411	12054	8426
412	12083	8396
413	12110	8366
414	12144	8340
415	12175	8312
416	12202	8281
417	12230	8251
418	12259	8221
419	12287	8191
420	12315	8161
421	12342	8130
422	12368	8099
423	12396	8069
424	12424	8039
425	12450	8008
426	12477	7977
427	12507	7948
428	12534	7918
429	12565	7889
430	12594	7860
431	12627	7833
432	12654	7802
433	12680	7772
434	12708	7742
435	12736	7712
436	12769	7685
437	12797	7655
438	12827	7626
439	12852	7594
440	12886	7568
441	12914	7538
442	12944	7509
443	12971	7479
444	12998	7448
445	13026	7418
446	13054	7388
447	13083	7359
448	13168	7361
449	13206	7337
450	13212	7294
451	13240	7264
452	13269	7235
453	13297	7205
454	13325	7175
455	13352	7144
456	13378	7113
457	13405	7083
458	13432	7052
459	13462	7024
460	13490	6993
461	13515	6962
462	13543	6932
463	13569	6901
464	13596	6871
465	13622	6840
466	13651	6811
467	13680	6781
468	13707	6751
469	13733	6720
470	13759	6690
471	13786	6659
472	13814	6629
473	13842	6600
474	13867	6568
475	13896	6539
476	13922	6508
477	13949	6478
478	13977	6448
479	14004	6418
480	14032	6389
481	14063	6360
482	14091	6331
483	14119	6301
484	14150	6272
485	14178	6243
486	14209	6215
487	14244	6188
488	14279	6161
489	14307	6131
490	14334	6101
491	14366	6073
492	14394	6044
493	14426	6016
494	14454	5986
495	14482	5956
496	14510	5926
497	14537	5896
498	14564	5866
499	14598	5839
500	14626	5809
501	14653	5779
502	14681	5749
503	14706	5719
504	14733	5689
505	14762	5659
506	14791	5630
507	14820	5601
508	14847	5571
509	14877	5542
510	14903	5512
511	14934	5483
512	14963	5454
513	14990	5424
514	15018	5395
515	15045	5365
516	15073	5335
517	15102	5306
518	15130	5276
519	15156	5246
520	15183	5216
521	15211	5186
522	15242	5158
523	15271	5129
524	15297	5099
525	15324	5069
526	15352	5039
527	15379	5010
528	15411	4981
529	15440	4952
530	15469	4923
531	15499	4894
532	15525	4864
533	15552	4834
534	15578	4804
535	15607	4775
536	15635	4745
537	15666	4717
538	15694	4687
539	15721	4658
540	15728	4622
541	15754	4592
542	15779	4562
543	15808	4533
544	15837	4504
545	15864	4474
546	15890	4444
547	15917	4415
548	15947	4386
549	15975	4356
550	16002	4327
551	16027	4297
552	16054	4267
553	16082	4238
554	16109	4208
555	16135	4179
556	16166	4150
557	16194	4121
558	16219	4091
559	16249	4062
560	16278	4033
561	16305	4003
562	16334	3974
563	16362	3945
564	16389	3915
565	16411	3885
566	16418	3851
567	16448	3822
568	16480	3794
569	16512	3766
570	16542	3737
571	16569	3707
572	16598	3678
573	16627	3650
574	16661	3622
575	16694	3593
576	16723	3564
577	16752	3535
578	16792	3509
579	16831	3482
580	16862	3453
581	16893	3425
582	16927	3397
583	16963	3369
584	17003	3342
585	17030	3313
586	17059	3283
587	17091	3255
588	17118	3225
589	17145	3196
590	17174	3167
591	17202	3138
592	17228	3108
593	17257	3079
594	17283	3050
595	17316	3021
596	17344	2992
597	17371	2963
598	17378	2930
599	17406	2901
600	17437	2872
601	17464	2843
602	17495	2814
603	17525	2785
604	17553	2756
605	17584	2727
606	17612	2698
607	17640	2669
608	17668	2640
609	17699	2611
610	17730	2582
611	17759	2553
612	17786	2524
613	17815	2495
614	17842	2466
615	17873	2437
616	17902	2408
617	17932	2379
618	17960	2350
619	17991	2321
620	18020	2292
621	18050	2263
622	18079	2234
623	18104	2205
624	18132	2175
625	18159	2146
626	18188	2117
627	18219	2088
628	18249	2059
629	18280	2031
630	18309	2002
631	18338	1973
632	18366	1943
633	18396	1915
634	18427	1886
635	18454	1857
636	18488	1828
637	18515	1799
638	18546	1770
639	18608	1744
640	18647	1716
641	18682	1687
642	18711	1658
643	18741	1629
644	18775	1601
645	18804	1571
646	18835	1542
647	18865	1513
648	18897	1484
649	18927	1455
650	18958	1426
651	18987	1397
652	19015	1368
653	19042	1339
654	19068	1310
655	19094	1280
656	19125	1251
657	19155	1222
658	19186	1193
659	19216	1164
660	19244	1135
661	19271	1106
662	19297	1076
663	19328	1047
664	19357	1018
665	19386	989
666	19423	960
667	19456	932
668	19487	903
669	19516	873
670	19543	844
671	19570	815
672	19596	786
673	19625	757
674	19654	727
675	19684	698
676	19712	669
677	19738	640
678	19770	611
679	19802	582
680	19830	553
681	19857	524
682	19886	494
683	19915	465
684	19946	436
685	19974	407
686	20001	378
687	20027	349
688	20055	320
689	20080	291
690	20107	261
691	20138	232
692	20165	203
693	20193	174
694	20221	145
695	20228	116
696	20255	87
697	20281	58
698	20308	29
699	20336	0
