Feature,Importance_Mean,Importance_STD
so_mid_pct,0.19937680137462438,0.04479644163168976
depth_mid_ft,0.15301784640689922,0.061683497581547314
api_mid,0.04703279325674185,0.024143010290290538
porosity_mid_pct,0.04568968990664234,0.023431128244210755
visc_mid_cp,0.01669784413541515,0.01220813980972254
log10_perm_mid,0.01642468994194855,0.014399956087601027
perm_mid_md,0.010788331389417405,0.008049946958105554
perm_span_md,0.007222602847735076,0.007898287133385978
visc_span_cp,0.006367391473774414,0.001460779787797115
api_span,0.006115307599278336,0.02665600783392059
log10_visc_mid,0.005743876542482329,0.018505531450820466
formation_sandstone,0.0024887179231680378,0.0072055762344117496
porosity_span_pct,0.0,0.0
depth_span_ft,0.0,0.0
so_span_pct,0.0,0.0
formation_unconsolidated_sands,0.0,0.0
formation_carbonates,-0.0007015787775473736,0.007252137444317381
